account.licenseNumber;listing.address.point.lat;listing.address.point.lon;listing.advertiserId;listing.totalAreas
04268-J-SP;-23.493796;-46.605705;7bf57a4f-0a40-781d-c7b0-5af8f92bd22d;45m2
00254-J-SC;-27.576887;-48.54293;4facce12-e20d-00a9-e96c-f0fec9d61fb8;140m2
48861-F-RJ;-23.018798;-43.462056;99a49079-2e53-2611-c44f-d06c291e8276;100m2
17452-J-SP;-22.899193;-47.053086;eaa31cc0-db78-0b60-6ecf-a917d42f9eee;80m2
24344-J-SP;-23.598672;-46.604629;a8c36aa5-da1c-0c25-7d28-b5e62fed6a80;69m2
047202-F-RJ;-23.003721;-43.328289;752b6eb2-5854-18fa-0699-70f39a89a10c;64m2
24344-J-SP;-23.613943;-46.690936;a8c36aa5-da1c-0c25-7d28-b5e62fed6a80;67m2
14226-J-SP;-23.54083;-46.553211;932c7e17-f6d2-0e22-32e7-37275d869247;73m2
19663-J-SP;-20.831243;-49.399459;17b40f11-4f2f-e28a-a932-86e0c8e20916;70m2
normal;-30.052912;-51.185236;98a34bd3-cd8c-7708-3a9f-ac60a8a6ff2b;64m2
14226-J-SP;-23.191286;-46.884496;7fa70a7e-c17a-969e-7f5f-58460e1f5c97;168m2
24344-J-SP;-23.488026;-46.605529;a8c36aa5-da1c-0c25-7d28-b5e62fed6a80;68m2
24344-J-SP;-19.934199;-43.925562;a8c36aa5-da1c-0c25-7d28-b5e62fed6a80;90m2
20995-J-SP;-23.559441;-46.621368;c8c2bfe6-8d38-b71e-c939-71a49d9d98de;50m2
00000-F-RJ;-23.003349;-43.351875;d8e46d4f-4333-0908-d24a-b44fb5f8116a;normalm2
028974-J-SP;-24.020887;-46.458512;8d1ff76c-8330-b176-4e08-4debee5431a0;80m2
24344-J-SP;-23.599427;-46.689672;a8c36aa5-da1c-0c25-7d28-b5e62fed6a80;84m2
86162-F-SP;-23.484416;-46.862642;905495eb-a30b-f809-b425-5dea76fc4747;86m2
31617-J-SP;-24.026209;-46.470258;92a3572b-3347-0c92-4ed6-1b84c5aeb4d4;96m2
