account.licenseNumber;account.name;listing.address.city;listing.address.country;listing.address.street;listing.title
04268-J-SP;ADI Assessoria e Imóveis Ltda;São Paulo;BR;Rua Manajeru;SãO PAULO - Apartamento Padrão - Parada Inglesa
00254-J-SC;San Remos Imóveis;Florianópolis;BR;Avenida Governador Irineu Bornhausen;Florianópolis - Apartamento Padrão - Agronômica
48861-F-RJ;Família Bacellar Imobiliária;Rio de Janeiro;BR;Rua Mário Faustino;Rio de Janeiro - Apartamento Padrão - Recreio dos Bandeirantes
17452-J-SP;Next Soluções Imobiliárias;Campinas;BR;Rua Barreto Leme;Campinas - Apartamento Padrão - Cambuí
24344-J-SP;QUINTO ANDAR SERVICOS IMOBILIARIOS LTDA;São Paulo;BR;Rua Clemente Pereira;São Paulo - Apartamento Padrão - Ipiranga
047202-F-RJ;FLAVIA DANIELLE PEREIRA TAGARRO;Rio de Janeiro;BR;Rua Coronel Paulo Malta Rezende;Apartamento para aluguel 64 metros quadrados 2 quartos
24344-J-SP;QUINTO ANDAR SERVICOS IMOBILIARIOS LTDA;São Paulo;BR;Rua Castilho;São Paulo - Apartamento Padrão - Brooklin
14226-J-SP;LELLO IMÓVEIS TATUAPÉ LOCAÇÃO;São Paulo;BR;Rua Serra de Botucatu;São Paulo - Apartamento Padrão - Tatuapé
19663-J-SP;NBI IMOVEIS;São José do Rio Preto;BR;Rua Francisco Giglioti;SAO JOSE DO RIO PRETO - Apartamento Padrão - JARDIM PANORAMA
normal;PORTAL ADMINISTRAÇÃO DE IMÓVEIS LTDA;Porto Alegre;BR;Travessa Serafim Terra;APARTAMENTO 02 DORMITÓRIOS NO JARDIM BOTÂNICO.
14226-J-SP;LELLO IMÓVEIS JUNDIAI LOCAÇÃO;Jundiaí;BR;Rua Senador Fonseca;Jundiaí - Apartamento Padrão - Centro
24344-J-SP;QUINTO ANDAR SERVICOS IMOBILIARIOS LTDA;São Paulo;BR;Rua Capitão Sérvio Rodrigues Caldas;São Paulo - Apartamento Padrão - Água Fria
24344-J-SP;QUINTO ANDAR SERVICOS IMOBILIARIOS LTDA;Belo Horizonte;BR;Rua Gonçalves Dias;Belo Horizonte - Apartamento Padrão - Funcionários
20995-J-SP;Predial Lins Premium Administração e Vendas Ltda;São Paulo;BR;Rua Alexandre Levi;São Paulo - Apartamento Padrão - Cambuci
00000-F-RJ;Fernanda Freitas;Rio de Janeiro;BR;Avenida General Felicíssimo Cardoso;Apartamento para aluguel quarto e sala com dependência 67 metros quadrados na Barra da Tijuca / RJ
028974-J-SP;IMIGRANTES IMOVEIS;Praia Grande;BR;Rua Pajé;Praia Grande - Apartamento Padrão - Tupi
24344-J-SP;QUINTO ANDAR SERVICOS IMOBILIARIOS LTDA;São Paulo;BR;Rua Kansas;São Paulo - Apartamento Padrão - Brooklin
86162-F-SP;Potência Imóveis;Barueri;BR;Avenida Sagitário;Barueri - Apartamento Padrão - Alphaville
31617-J-SP;Ar7;Praia Grande;BR;Rua Monteiro Lobato;LOCAÇÃO: 02 dorm, 01 suíte, 100m da praia - OCIAN
03468-J-MG;AG NEGÓCIOS IMOBILIARIOS LTDA - ME;Belo Horizonte;BR;Rua Cônsul Walter;Belo Horizonte - Apartamento Padrão - Buritis
normal;DELTACON LOCAÇÕES E CONDOMÍNIOS LTDA;Porto Alegre;BR;Avenida Osvaldo Aranha;Apartamento para aluguel com 43 metros quadrados com 1 quarto em Bom Fim - Porto Alegre - RS
24344-J-SP;QUINTO ANDAR SERVICOS IMOBILIARIOS LTDA;Rio de Janeiro;BR;Rua A;Rio de Janeiro - Apartamento Padrão - Jacarepaguá
21729-J-SP;BELLA CASA IMOVEIS;São Paulo;BR;Rua Valentim Magalhães;São Paulo - Apartamento Padrão - Mooca
31617-J-SP;Ar7;Praia Grande;BR;Rua Marechal Rondon;Apartamento para locação no Canto do Forte em Praia Grande.
17607-J-DF;QUASAR IMOBILIARIA LTDA;Brasília;BR;Quadra 2 Conjunto A-5;Sobradinho - Apartamento Padrão - Sobradinho
24067-F-SP;Donizete Imóveis - Jardim;Santo André;BR;Rua Santo André;Santo André - Apartamento Padrão - Centro
033671-J-SP;Dezeo Inteligência Imobiliária;São Paulo;BR;Rua Laplace;São Paulo - Apartamento Padrão - Campo Belo
